#,Датасет,Вопрос (RU),"Вопрос (оригинал, EN)",Ответ модели,Эталонный ответ,Ваш вердикт (впишите CORRECT или INCORRECT),Комментарий
1,FinQA,"Каким было процентное изменение чистой выручки Entergy с 2010 по 2011 год, с учётом влияния распределения по mark-to-market налоговому урегулированию, корректировок розничных тарифов на электроэнергию и других факторов, указанных в разделе финансового анализа за 2011 год?","What was the percentage change in Entergy's net revenue from 2010 to 2011, considering the impact of the mark-to-market tax settlement sharing, retail electric price adjustments, and other factors as outlined in the 2011 financial discussion and analysis? ",-2.91,-0.150905433,Incorrect,
2,TAT-DQA,Какова разница между справедливой стоимостью на дату предоставления (Grant Date Fair Value) акционных и опционных вознаграждений для г-на Дасвани и г-жи Фрайар в 2018 году?,What is the difference between the Grant Date Fair Value of Stock and Option Awards for Mr. Daswani and Ms. Friar in 2018?,3291438,3291438,correct,
3,TAT-DQA,"Согласно консолидированному отчёту о движении денежных средств за 2019 год компании Monolithic Power Systems Inc, за сколько лет суммарные денежные средства, их эквиваленты и ограниченные денежные средства превышали 150 000 тысяч?","In the 2019 Consolidated Statements of Cash Flows for Monolithic Power Systems Inc, for how many years did the total cash, cash equivalents, and restricted cash exceed 150,000 thousand?",2,2,correct,
4,TAT-DQA,"Какова средняя скорректированная прибыль до налогообложения компании Vodafone Group PLC в 2019 году, с учётом корректировок на убытки от обесценения, налогообложение и результаты Vodafone India?","What is the average adjusted profit before tax for Vodafone Group PLC in 2019, considering the adjustments for impairment losses, taxation, and the results of Vodafone India?",2334.5,3472,Incorrect,
5,FinQA,"Каким было процентное изменение финансовых активов уровня 3 (Level 3), удерживаемых Goldman Sachs, с декабря 2016 по декабрь 2017 года?",What was the percentage change in Level 3 financial assets held by Goldman Sachs from December 2016 to December 2017?,-17.52,-0.175214777,correct,
6,FinQA,Какова доходность инвестиций (ROI) в индекс DJ US Containers & Packaging за период с 2007 по 2012 год?,What is the ROI of an investment in DJ US Containers & Packaging from 2007 to 2012?,7.76,0.0776,correct,
7,ConvFinQA,"Какова общая расчётная сумма амортизационных расходов за 2015-2018 годы по нематериальным активам компании Devon Energy, если сумма амортизации составляет $45 млн за каждый из этих годов?","What is the total estimated amortization expense for the years 2015 to 2018 for Devon Energy's intangible assets, given that the amortization amount is $45 million for each of these years?",180,180,correct,
8,TAT-DQA,Каково изменение стоимости улучшений арендованного имущества (Leasehold improvements) компании MACOM Technology с 2018 по 2019 финансовый год?,What is the change in the value of Leasehold improvements for macom-technology from the fiscal year 2018 to 2019?,-2022,-2022,correct,
9,FinQA,Каков процентный рост общих расходов на вознаграждение по программе акционных выплат компании Mid-America Apartment Communities с 2015 по 2016 год?,What is the percentage increase in total compensation expense under the stock plan for Mid-America Apartment Communities from 2015 to 2016?,76.81,0.768115942,correct,
10,FinQA,"Каковы неявные процентные расходы (implicit interest costs) по арендным платежам после 2021 года по сделкам продажи с обратной арендой (sale and leaseback) станции Grand Gulf компании Entergy, отражённые в будущих минимальных арендных платежах с неявной ставкой 5,13%, в тысячах долларов?","What are the implicit interest costs for the lease payments due after 2021 for Entergy's Grand Gulf sale and leaseback transactions, as reflected in the future minimum lease payments with an implicit rate of 5.13%, in thousands?",292209,13225.7556,Incorrect,
11,TAT-DQA,"Каково увеличение в долларах себестоимости услуг (Cost of services) компании Verizon Communications Inc. с 2018 по 2019 год, согласно годовому отчёту за 2019 год?","What was the dollar increase in Cost of services for Verizon Communications Inc. from 2018 to 2019, as reported in the 2019 Annual Report?",-413,549,Incorrect,
12,FinQA,Каков был средний портфель заказов на конец года (year-end backlog) сегмента IS&GS компании Lockheed Martin за период 2013-2015 годов?,What was the average year-end backlog for Lockheed Martin's IS&GS business segment from 2013 to 2015?,5700,5700,correct,
13,FinQA,"Каковы годовые процентные расходы по облигациям ATI со ставкой 7,25% (ATI 7.25% notes), в миллионах долларов, за 2005 финансовый год компании American Tower?",What is the annual interest expense related to the ATI 7.25% notes in millions for American Tower's financial year 2005?,29,29,correct,
14,FinQA,"Каково годовое изменение чистого дохода от финансовых инвестиций компании Masco с 2011 по 2012 год, согласно разделу «Прочие доходы (расходы), нетто» в финансовой отчётности компании за 2012 год?","What was the year-over-year change in Masco's income from financial investments, net, from 2011 to 2012, as reported in the 'Other income (expense), net' section of the company's 2012 financial statements?",-49,-49,correct,
15,TAT-DQA,Каков был начисленный размер компенсаций и вознаграждений сотрудникам (accrued compensation and employee benefits) компании Jabil Circuit Inc. по состоянию на 31 августа 2018 года?,"What was the accrued compensation and employee benefits for Jabil Circuit Inc. as of August 31, 2018?",570400,570400,correct,
16,TAT-DQA,"Какова была сумма чистых денежных средств, использованных в инвестиционной деятельности (net cash used in investing activities), компании Greensky, Inc. в 2019 году, согласно консолидированному отчёту о движении денежных средств?","What was the amount of net cash used in investing activities for Greensky, Inc. in 2019, as reflected in its Consolidated Statements of Cash Flows?",-15381,15381,correct,
17,TAT-DQA,"Каково процентное изменение общей выручки от продукции (total product revenue) компании Altium Limited с 2018 по 2019 год, согласно разделу «Ключевые финансовые результаты» годового отчёта за 2019 год?","What is the percentage change in Altium Limited's total product revenue from 2018 to 2019, as reflected in the Key Financial Results section of the 2019 annual report?",22.6,23,Incorrect,
18,TAT-DQA,Какова средняя стоимость подписок (cost of subscriptions) компании RingCentral за период 2017-2019 годов?,What is the average cost of subscriptions for RingCentral between 2017 and 2019?,118989.67,119655.67,Incorrect,
19,ConvFinQA,Каково было чистое изменение стоимости мультиактивных активов под управлением (multi-asset AUM) компании BlackRock в течение 2016 года?,What was the net change in value of BlackRock's multi-asset AUM during 2016?,18671,18671,correct,
20,FinQA,"Какова эффективная налоговая ставка компании Visa Inc. в 2016 году, с учётом налоговых льгот, связанных с расходами на вознаграждение акциями, раскрытых в примечаниях к консолидированной финансовой отчётности за год, закончившийся 30 сентября 2016 года?","What is the effective tax rate for Visa Inc. in 2016, considering the tax benefits related to share-based compensation costs as disclosed in the Notes to Consolidated Financial Statements for the year ended September 30, 2016?",INSUFFICIENT_CONTEXT,0.293838863,Incorrect,
21,FinQA,"Какой процент от условной суммы контрактов (notional amount) по всем валовым производным финансовым инструментам, удерживаемым PNC Financial Services по состоянию на 31 декабря 2014 года, приходился на производные, не отнесённые к хеджирующим инструментам по GAAP?","What percentage of the notional contract amount of total gross derivatives held by PNC Financial Services at December 31, 2014, was attributed to derivatives not designated as hedging instruments under GAAP?",85.58,0.855837352,correct,
22,TAT-DQA,"Каково было изменение чистой прибыли на разводнённую обыкновенную акцию (net income per common share-diluted) компании Teradyne с $2,35 в 2018 году до значения в 2019 году?",What was the change in Teradyne's net income per common share-diluted from $2.35 in 2018 to 2019?,0.25,0.25,correct,
23,TAT-DQA,Какова средняя условная сумма налога (notional tax) за 2017/18 и 2018/19 годы для компании Premier Foods Plc?,What is the average notional tax for the years 2017/18 and 2018/19 for Premier Foods Plc?,15.8,-15.8,correct,
24,TAT-DQA,Какова была сумма амортизированной стоимости корпоративных облигаций и казначейских ценных бумаг США по состоянию на 31 декабря 2018 года?,"What was the sum of the amortized costs of corporate bonds and US treasury securities as of December 31, 2018?",196941,196941,correct,
25,TAT-DQA,"Какова была сумма прибыли или убытка, признанного в составе прочего совокупного дохода (AOCI) по контрактам на валютный обмен компании Carpenter Technology Corp за год, закончившийся 30 июня 2018 года?","What was the amount of gain or loss recognized in AOCI on foreign exchange contracts for carpenter-technology-corp in the year ended June 30, 2018?",-0.4,0.4,correct,
26,ConvFinQA,"Какова была общая сумма платежей по векселям (notes), выпущенным Entergy в пользу NYPA, с 7 ежегодными платежами?",What were the total payments made for the notes Entergy issued to NYPA that had 7 annual installments?,756,756,correct,
27,TAT-DQA,Каково было влияние перехода на новый стандарт учёта выручки (New Revenue Standard) на чистую дебиторскую задолженность (net accounts receivable) компании Microchip Technology Inc. по состоянию на 1 апреля 2018 года?,"What was the impact of the New Revenue Standard adoption on Microchip Technology Inc.'s net accounts receivable as of April 1, 2018?",340.1,324.5,Incorrect,
28,ConvFinQA,Какова была операционная прибыль по отраслевым сегментам (industry segment operating profits) компании International Paper в 2006 году?,What were International Paper's industry segment operating profits in 2006?,2074,2074,correct,
29,FinQA,"Какова была эффективная ставка налога на прибыль, которая привела к налоговой льготе в размере $6,9 млн от расходов на вознаграждение акциями компании Global Payments в 2015 году?",What was the effective income tax rate that resulted in the $6.9 million income tax benefit from share-based compensation expense for Global Payments in 2015?,32.7,0.327014218,correct,
